year,profit_rate,method,source,data_quality,notes
2005,0.11456318070222148,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2006,0.11371084679131342,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2007,0.11158955996971795,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2008,0.10858399292204257,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2009,0.15458822798265942,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2010,0.13606222722448288,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2011,0.1262029084026272,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2012,0.13014772059073168,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2013,0.1290104017790003,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2014,0.13046251806913653,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2015,0.1406856437032205,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2016,0.1424860746682332,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2017,0.14260779917730027,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2018,0.13389988879524,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2019,0.1329778774657989,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2020,0.1270505899661355,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2021,0.12144722391573083,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2022,0.1257342148493984,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
2023,0.1336324167494076,Modern S&T identity,r = SP/(K×u) using S&T-consistent inputs,Identity,capacity_utilization detected in percent; divided by 100 to convert to fraction.
