0,1,2,3,4,5,6,7,8,9,10,11,12,13
Civilian  safety,nan,"2,458","2,458",nan,nan,"2,650","2,650",nan,nan,"2,880","2,880",nan,nan
Police,nan,"1,302","1,302",nan,nan,"1,410","1,410",nan,nan,"1,565","1,565",nan,nan
Fire,nan,725,725,nan,nan,773,773,nan,nan,849,849,nan,nan
Correction,nan,431,431,nan,nan,467,467,nan,nan,466,466,nan,nan
Education,nan,"11,867","11,824",nan,nan,"13,006","12,953",53,nan,"14,105","14,038",67,nan
Elementary  and  secondary..,nan,"10,075","10,075",nan,nan,"10,935","10,935",nan,nan,"11,739","11,739",nan,nan
Higher,nan,"1,395","1,395",nan,nan,"1,596","1,596",nan,nan,"1,851","1,851",nan,nan
Libraries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Other,nan,397,354,nan,nan,475,422,nan,nan,515,448,nan,nan
Health  and  hospitals,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,"2,673","2,639",nan,nan,"2,867","2,860",nan,nan,"3,297","3,289",nan,nan
Health,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hospitals,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Income  support,  social  security,  and  welfare",nan,"3,935",409,"3,526",nan,"4,197",487,"3,710",nan,"4,537",507,"4,030",nan
Government  employees  retirement  and  disability,nan,494,14,480,nan,564,16,548,nan,643,23,620,nan
"Workers'  compensation  and  temporary  disability 
insurance..",nan,236,5,231,nan,260,5,255,nan,280,5,275,nan
Medical  care,nan,197,nan,197,nan,227,nan,227,nan,249,nan,249,nan
Welfare  and  social  services,nan,"3,008",390,"2,618",nan,"3,146",466,"2,680",nan,"3,365",479,"2,886",nan
Veterans  benefits  and  services,nan,104,12,92,nan,42,13,29,nan,87,16,nan,nan
Housing  and  community  services,nan,"1,232","1,829",nan,-597,"1,267","1,915",nan,-648,"1,399","2,055",nan,-656
"Housing,  community  development,  and  urban  renewal",nan,68,220,nan,-152,23,183,nan,-160,46,198,nan,-152
Water,nan,226,720,nan,-494,150,697,nan,-547,192,739,nan,-547
Sewerage,nan,539,490,nan,49,653,594,nan,nan,687,644,nan,43
Sanitation,nan,399,399,nan,nan,441,441,nan,nan,474,474,nan,nan
Recreational  and  cultural  activities  2,nan,478,478,nan,nan,513,513,nan,nan,570,570,nan,nan
Energy,nan,- 80,320,nan,- 4 00,- 54,356,nan,- 4 10,15,457,nan,- 4 42
Gas  utilities,nan,17,48,nan,- 31,-5,33,nan,- 38,-8,34,nan,- 42
Electric  utilities-,nan,- 97,272,nan,nan,- 49,323,nan,- 3 72,23,423,nan,- 4 00
Agriculture,nan,364,358,nan,nan,390,383,nan,nan,439,431,nan,nan
Natural  resources..,nan,332,332,nan,nan,431,431,nan,nan,498,498,nan,nan
Transportatio,nan,"6,146","6,439",nan,- 2 93,"6,727","7,065",nan,- 3 38,"7,597","7,979",nan,-382
Highways...,nan,"6,056","6,221",nan,- 1 65,"6,555","6,755",nan,- 2 00,"7,351","7,607",nan,-256
Water,nan,40,75,nan,- 35,56,99,nan,- 43,66,96,nan,nan
Air..,nan,49,63,nan,- 14,78,102,nan,- 24,126,157,nan,- 31
